time,topic,body
2025-04-30 20:33:06.525407+03,Auton_json/A205/0006/DeviceState,"{""ClassId"": 19003, ""StartDate"": ""2025-04-30T20:29:48.000Z"", ""BatteryLevel"": 25, ""RemoteConnectionLevel"": 23}"
2025-04-30 20:33:06.528839+03,Auton_json/A205/0008/ProcessResult,"{""ClassId"": 22205, ""StartDate"": ""2025-04-30T20:32:27.000Z"", ""Concentration"": 0.000012577909728861414, ""CasRegistryNumber"": 7783064}"
2025-04-30 20:33:06.532618+03,Auton_json/A205/0010/ProcessResult,"{""ClassId"": 22205, ""StartDate"": ""2025-04-30T20:32:27.000Z"", ""Concentration"": 0.012561816722154617, ""CasRegistryNumber"": 74986}"
2025-04-30 20:33:06.53629+03,Auton_json/A555-10/1022/ProcessResult,"{""ClassId"": 22556, ""StartDate"": ""2025-04-30T20:32:27.000Z"", ""DiscreteStatus"": 0}"
2025-04-30 20:33:06.539897+03,Auton_json/A555-10/1022/DeviceState,"{""ClassId"": 19003, ""StartDate"": ""2025-04-30T20:29:48.000Z"", ""BatteryLevel"": 25, ""RemoteConnectionLevel"": 23}"
2025-04-30 20:33:06.54372+03,Auton_json/A555-10/1024/ProcessResult,"{""ClassId"": 22550, ""StartDate"": ""2025-04-30T20:32:27.000Z"", ""StateChangedCounter"": 2512}"
2025-04-30 20:33:06.547705+03,Auton_json/A555-10/1023/ProcessResult,"{""ClassId"": 22555, ""StartDate"": ""2025-04-30T20:32:57.000Z"", ""DiscreteStatus"": 1}"
2025-04-30 20:33:06.55138+03,Auton_json/A555-10/1025/ProcessResult,"{""ClassId"": 22551, ""StartDate"": ""2025-04-30T20:32:27.000Z"", ""FrequencyRpm"": 2606.88134765625}"
2025-04-30 20:33:06.555078+03,Auton_json/A845/0914/ProcessResult,"{""ClassId"": 22557, ""StartDate"": ""2025-04-30T20:32:27.000Z"", ""TemperatureC"": ""-6.760""}"
2025-04-30 20:33:06.558646+03,Auton_json/A845/0914/DeviceState,"{""ClassId"": 19003, ""StartDate"": ""2025-04-30T20:29:48.000Z"", ""BatteryLevel"": 25, ""RemoteConnectionLevel"": 23}"
2025-04-30 20:33:06.561806+03,Auton_json/A605-20/1857/ProcessResult,"{""ClassId"": 22607, ""StartDate"": ""2025-04-30T20:32:27.000Z"", ""TemperatureC_1"": ""-38.700"", ""TemperatureC_2"": ""-10.080"", ""VibrationTemperatureC_1"": ""25.270"", ""VibrationTemperatureC_2"": ""-31.000"", ""XVibrationDisplacementRmsM_1"": ""0.00099270"", ""XVibrationDisplacementRmsM_2"": ""0.00086890"", ""YVibrationDisplacementRmsM_1"": ""0.00021800"", ""YVibrationDisplacementRmsM_2"": ""0.00041540"", ""ZVibrationDisplacementRmsM_1"": ""0.00024190"", ""ZVibrationDisplacementRmsM_2"": ""0.00003960""}"
2025-04-30 20:33:06.566437+03,Auton_json/A605-20/1856/ProcessResult,"{""ClassId"": 22559, ""StartDate"": ""2025-04-30T20:32:27.000Z"", ""TemperatureC_1"": ""-38.700"", ""TemperatureC_2"": ""-31.000"", ""VibrationTemperatureC_1"": ""25.270"", ""VibrationTemperatureC_2"": ""-31.000"", ""XVibrationVelocityRmsMPerS_1"": ""0.09927"", ""XVibrationVelocityRmsMPerS_2"": ""0.08689"", ""YVibrationVelocityRmsMPerS_1"": ""0.02180"", ""YVibrationVelocityRmsMPerS_2"": ""0.04154"", ""ZVibrationVelocityRmsMPerS_1"": ""0.02419"", ""ZVibrationVelocityRmsMPerS_2"": ""0.00396""}"
2025-04-30 20:33:06.569193+03,Auton_json/A605-20/1856/DeviceState,"{""ClassId"": 19003, ""StartDate"": ""2025-04-30T20:29:53.000Z"", ""BatteryLevel"": 8, ""RemoteConnectionLevel"": 46}"
2025-04-30 20:33:06.571788+03,Auton_json/A605-20/1858/ProcessResult,"{""ClassId"": 22609, ""StartDate"": ""2025-04-30T20:32:27.000Z"", ""TemperatureC_1"": ""29.510"", ""TemperatureC_2"": ""-6.760"", ""VibrationTemperatureC_1"": ""39.420"", ""VibrationTemperatureC_2"": ""-6.760"", ""XVibrationAccelerationRmsMPerS2_1"": ""0.990"", ""XVibrationAccelerationRmsMPerS2_2"": ""0.860"", ""YVibrationAccelerationRmsMPerS2_1"": ""0.210"", ""YVibrationAccelerationRmsMPerS2_2"": ""0.410"", ""ZVibrationAccelerationRmsMPerS2_1"": ""0.240"", ""ZVibrationAccelerationRmsMPerS2_2"": ""0.030""}"
2025-04-30 20:33:06.57461+03,Auton_json/A125-10/0327/ProcessResult,"{""Level"": 11.869064331054688, ""ClassId"": 22126, ""StartDate"": ""2025-04-30T20:32:27.000Z""}"
2025-04-30 20:33:06.577557+03,Auton_json/A405-10/0512/ProcessResult,"{""ClassId"": 22406, ""CurrentA"": 99.27910614013672, ""CurrentB"": 21.800107955932617, ""CurrentC"": 72.09100341796875, ""StartDate"": ""2025-04-30T20:32:27.000Z""}"
2025-04-30 20:33:06.58123+03,Auton_json/A405-10/0512/DeviceState,"{""ClassId"": 19003, ""StartDate"": ""2025-04-30T20:29:48.000Z"", ""BatteryLevel"": 25, ""RemoteConnectionLevel"": 23}"
2025-04-30 20:33:06.584976+03,Auton_json/A855-50/0915/ProcessResult,"{""ClassId"": 22800, ""StartDate"": ""2025-04-30T20:32:27.000Z"", ""TemperatureC"": [""39.420"", ""15.600"", ""-22.550"", ""-39.980""]}"
2025-04-30 20:33:06.5886+03,Auton_json/A225/0343/DeviceState,"{""ClassId"": 19003, ""StartDate"": ""2025-04-30T20:30:09.000Z"", ""BatteryLevel"": 27, ""RemoteConnectionLevel"": 99}"
2025-04-30 20:33:06.592203+03,Auton_json/A215/0831/DeviceState,"{""ClassId"": 19003, ""StartDate"": ""2025-04-30T20:30:20.000Z"", ""BatteryLevel"": 78, ""RemoteConnectionLevel"": 75}"
2025-04-30 20:33:26.720101+03,Auton_json/A205/0006/ProcessResult,"{""ClassId"": 22205, ""StartDate"": ""2025-04-30T20:33:27.000Z"", ""Concentration"": 0.7209100127220154, ""CasRegistryNumber"": 7783064}"
2025-04-30 20:33:26.784014+03,Auton_json/A555-10/1022/ProcessResult,"{""ClassId"": 22556, ""StartDate"": ""2025-04-30T20:33:27.000Z"", ""DiscreteStatus"": 0}"
2025-04-30 20:33:26.788241+03,Auton_json/A555-10/1025/ProcessResult,"{""ClassId"": 22551, ""StartDate"": ""2025-04-30T20:33:27.000Z"", ""FrequencyRpm"": 2845.655517578125}"
2025-04-30 20:33:26.79177+03,Auton_json/A205/0010/ProcessResult,"{""ClassId"": 22205, ""StartDate"": ""2025-04-30T20:33:27.000Z"", ""Concentration"": 0.010813930071890354, ""CasRegistryNumber"": 74986}"
2025-04-30 20:33:26.79571+03,Auton_json/A835/0551/ProcessResult,"{""ClassId"": 22821, ""StartDate"": ""2025-04-30T20:33:27.000Z"", ""PressureAt"": ""1.4498529059""}"
2025-04-30 20:33:26.801061+03,Auton_json/A125/0326/ProcessResult,"{""ClassId"": 22125, ""Distance"": 9.11137580871582, ""StartDate"": ""2025-04-30T20:33:27.000Z""}"
2025-04-30 20:33:26.804269+03,Auton_json/A605-10/0791/ProcessResult,"{""ClassId"": 22558, ""StartDate"": ""2025-04-30T20:33:27.000Z"", ""TemperatureC"": ""-34.350"", ""VibrationTemperatureC"": ""32.930"", ""XVibrationVelocityRmsMPerS"": ""0.08159"", ""YVibrationVelocityRmsMPerS"": ""0.00161"", ""ZVibrationVelocityRmsMPerS"": ""0.05867""}"
2025-04-30 20:33:26.808137+03,Auton_json/A405/0123/ProcessResult,"{""ClassId"": 22405, ""Current"": 72.09100341796875, ""StartDate"": ""2025-04-30T20:33:27.000Z""}"
2025-04-30 20:33:26.811616+03,Auton_json/A605-10/0792/ProcessResult,"{""ClassId"": 22606, ""StartDate"": ""2025-04-30T20:33:27.000Z"", ""TemperatureC"": ""-20.490"", ""VibrationTemperatureC"": ""25.270"", ""XVibrationDisplacementRmsM"": ""0.00081590"", ""YVibrationDisplacementRmsM"": ""0.00001610"", ""ZVibrationDisplacementRmsM"": ""0.00058670""}"
2025-04-30 20:33:26.81542+03,Auton_json/A835/0553/ProcessResult,"{""ClassId"": 22822, ""StartDate"": ""2025-04-30T20:33:27.000Z"", ""PressureAt"": ""1.6436499722"", ""TemperatureC"": ""17.670""}"
2025-04-30 20:33:26.819015+03,Auton_json/A845/0914/ProcessResult,"{""ClassId"": 22557, ""StartDate"": ""2025-04-30T20:33:27.000Z"", ""TemperatureC"": ""4.510""}"
2025-04-30 20:33:26.822765+03,Auton_json/A605-20/1857/ProcessResult,"{""ClassId"": 22607, ""StartDate"": ""2025-04-30T20:33:27.000Z"", ""TemperatureC_1"": ""-34.350"", ""TemperatureC_2"": ""-20.490"", ""VibrationTemperatureC_1"": ""32.930"", ""VibrationTemperatureC_2"": ""-22.700"", ""XVibrationDisplacementRmsM_1"": ""0.00099680"", ""XVibrationDisplacementRmsM_2"": ""0.00094850"", ""YVibrationDisplacementRmsM_1"": ""0.00034460"", ""YVibrationDisplacementRmsM_2"": ""0.00055640"", ""ZVibrationDisplacementRmsM_1"": ""0.00013250"", ""ZVibrationDisplacementRmsM_2"": ""0.00011240""}"
2025-04-30 20:33:26.826433+03,Auton_json/A605-10/0793/ProcessResult,"{""ClassId"": 22608, ""StartDate"": ""2025-04-30T20:33:27.000Z"", ""TemperatureC"": ""35.880"", ""VibrationTemperatureC"": ""17.670"", ""XVibrationAccelerationRmsMPerS2"": ""0.810"", ""YVibrationAccelerationRmsMPerS2"": ""0.010"", ""ZVibrationAccelerationRmsMPerS2"": ""0.580""}"
2025-04-30 20:33:26.830109+03,Auton_json/A125-10/0327/ProcessResult,"{""Level"": 12.40988826751709, ""ClassId"": 22126, ""StartDate"": ""2025-04-30T20:33:27.000Z""}"
2025-04-30 20:33:26.833835+03,Auton_json/A555-10/1024/ProcessResult,"{""ClassId"": 22550, ""StartDate"": ""2025-04-30T20:33:27.000Z"", ""StateChangedCounter"": 2162}"
2025-04-30 20:33:26.837467+03,Auton_json/A835/0552/ProcessResult,"{""ClassId"": 22820, ""StartDate"": ""2025-04-30T20:33:27.000Z"", ""TemperatureC"": ""35.880""}"
2025-04-30 20:33:26.841111+03,Auton_json/A855-50/0915/ProcessResult,"{""ClassId"": 22800, ""StartDate"": ""2025-04-30T20:33:27.000Z"", ""TemperatureC"": [""39.740"", ""25.270"", ""-12.430"", ""-38.700""]}"
2025-04-30 20:33:26.84473+03,Auton_json/A405-10/0512/ProcessResult,"{""ClassId"": 22406, ""CurrentA"": 99.6801528930664, ""CurrentB"": 34.46003723144531, ""CurrentC"": 58.67789077758789, ""StartDate"": ""2025-04-30T20:33:27.000Z""}"
2025-04-30 20:33:26.848674+03,Auton_json/A605-20/1856/ProcessResult,"{""ClassId"": 22559, ""StartDate"": ""2025-04-30T20:33:27.000Z"", ""TemperatureC_1"": ""-34.350"", ""TemperatureC_2"": ""-22.700"", ""VibrationTemperatureC_1"": ""32.930"", ""VibrationTemperatureC_2"": ""-22.700"", ""XVibrationVelocityRmsMPerS_1"": ""0.09968"", ""XVibrationVelocityRmsMPerS_2"": ""0.09485"", ""YVibrationVelocityRmsMPerS_1"": ""0.03446"", ""YVibrationVelocityRmsMPerS_2"": ""0.05564"", ""ZVibrationVelocityRmsMPerS_1"": ""0.01325"", ""ZVibrationVelocityRmsMPerS_2"": ""0.01124""}"
2025-04-30 20:33:26.865063+03,Auton_json/A205/0008/ProcessResult,"{""ClassId"": 22205, ""StartDate"": ""2025-04-30T20:33:27.000Z"", ""Concentration"": 0.000010841559742402751, ""CasRegistryNumber"": 7783064}"
2025-04-30 20:33:26.88711+03,Auton_json/A605-20/1858/ProcessResult,"{""ClassId"": 22609, ""StartDate"": ""2025-04-30T20:33:27.000Z"", ""TemperatureC_1"": ""35.880"", ""TemperatureC_2"": ""4.510"", ""VibrationTemperatureC_1"": ""39.740"", ""VibrationTemperatureC_2"": ""4.510"", ""XVibrationAccelerationRmsMPerS2_1"": ""0.990"", ""XVibrationAccelerationRmsMPerS2_2"": ""0.940"", ""YVibrationAccelerationRmsMPerS2_1"": ""0.340"", ""YVibrationAccelerationRmsMPerS2_2"": ""0.550"", ""ZVibrationAccelerationRmsMPerS2_1"": ""0.130"", ""ZVibrationAccelerationRmsMPerS2_2"": ""0.110""}"
2025-04-30 20:33:54.217734+03,Auton_json/A555-10/1023/ProcessResult,"{""ClassId"": 22555, ""StartDate"": ""2025-04-30T20:33:57.000Z"", ""DiscreteStatus"": 0}"
2025-04-30 20:34:24.642875+03,Auton_json/A205/0006/ProcessResult,"{""ClassId"": 22205, ""StartDate"": ""2025-04-30T20:34:27.000Z"", ""Concentration"": 0.5867789387702942, ""CasRegistryNumber"": 7783064}"
2025-04-30 20:34:24.680704+03,Auton_json/A555-10/1022/ProcessResult,"{""ClassId"": 22556, ""StartDate"": ""2025-04-30T20:34:27.000Z"", ""DiscreteStatus"": 0}"
2025-04-30 20:34:24.703375+03,Auton_json/A555-10/1025/ProcessResult,"{""ClassId"": 22551, ""StartDate"": ""2025-04-30T20:34:27.000Z"", ""FrequencyRpm"": 2977.235595703125}"
2025-04-30 20:34:24.707093+03,Auton_json/A205/0010/ProcessResult,"{""ClassId"": 22205, ""StartDate"": ""2025-04-30T20:34:27.000Z"", ""Concentration"": 0.008802097290754318, ""CasRegistryNumber"": 74986}"
2025-04-30 20:34:24.710864+03,Auton_json/A835/0551/ProcessResult,"{""ClassId"": 22821, ""StartDate"": ""2025-04-30T20:34:27.000Z"", ""PressureAt"": ""1.1762936375""}"
2025-04-30 20:34:24.717647+03,Auton_json/A125/0326/ProcessResult,"{""ClassId"": 22125, ""Distance"": 7.434736728668213, ""StartDate"": ""2025-04-30T20:34:27.000Z""}"
2025-04-30 20:34:24.720977+03,Auton_json/A605-10/0791/ProcessResult,"{""ClassId"": 22558, ""StartDate"": ""2025-04-30T20:34:27.000Z"", ""TemperatureC"": ""-27.250"", ""VibrationTemperatureC"": ""37.960"", ""XVibrationVelocityRmsMPerS"": ""0.09116"", ""YVibrationVelocityRmsMPerS"": ""0.00706"", ""ZVibrationVelocityRmsMPerS"": ""0.04457""}"
2025-04-30 20:34:24.724763+03,Auton_json/A405/0123/ProcessResult,"{""ClassId"": 22405, ""Current"": 58.67789077758789, ""StartDate"": ""2025-04-30T20:34:27.000Z""}"
2025-04-30 20:34:24.734762+03,Auton_json/A605-10/0792/ProcessResult,"{""ClassId"": 22606, ""StartDate"": ""2025-04-30T20:34:27.000Z"", ""TemperatureC"": ""-29.270"", ""VibrationTemperatureC"": ""32.930"", ""XVibrationDisplacementRmsM"": ""0.00091160"", ""YVibrationDisplacementRmsM"": ""0.00007060"", ""ZVibrationDisplacementRmsM"": ""0.00044570""}"
2025-04-30 20:34:24.738505+03,Auton_json/A835/0553/ProcessResult,"{""ClassId"": 22822, ""StartDate"": ""2025-04-30T20:34:27.000Z"", ""PressureAt"": ""1.8388236554"", ""TemperatureC"": ""6.940""}"
2025-04-30 20:34:24.741986+03,Auton_json/A845/0914/ProcessResult,"{""ClassId"": 22557, ""StartDate"": ""2025-04-30T20:34:27.000Z"", ""TemperatureC"": ""15.440""}"
2025-04-30 20:34:24.745865+03,Auton_json/A605-20/1857/ProcessResult,"{""ClassId"": 22607, ""StartDate"": ""2025-04-30T20:34:27.000Z"", ""TemperatureC_1"": ""-27.250"", ""TemperatureC_2"": ""-29.270"", ""VibrationTemperatureC_1"": ""37.960"", ""VibrationTemperatureC_2"": ""-12.600"", ""XVibrationDisplacementRmsM_1"": ""0.00096120"", ""XVibrationDisplacementRmsM_2"": ""0.00099240"", ""YVibrationDisplacementRmsM_1"": ""0.00048350"", ""YVibrationDisplacementRmsM_2"": ""0.00069300"", ""ZVibrationDisplacementRmsM_1"": ""0.00005240"", ""ZVibrationDisplacementRmsM_2"": ""0.00021610""}"
2025-04-30 20:34:24.7496+03,Auton_json/A605-10/0793/ProcessResult,"{""ClassId"": 22608, ""StartDate"": ""2025-04-30T20:34:27.000Z"", ""TemperatureC"": ""39.390"", ""VibrationTemperatureC"": ""6.940"", ""XVibrationAccelerationRmsMPerS2"": ""0.910"", ""YVibrationAccelerationRmsMPerS2"": ""0.070"", ""ZVibrationAccelerationRmsMPerS2"": ""0.440""}"
2025-04-30 20:34:24.757887+03,Auton_json/A125-10/0327/ProcessResult,"{""Level"": 12.4600191116333, ""ClassId"": 22126, ""StartDate"": ""2025-04-30T20:34:27.000Z""}"
2025-04-30 20:34:24.761164+03,Auton_json/A555-10/1024/ProcessResult,"{""ClassId"": 22550, ""StartDate"": ""2025-04-30T20:34:27.000Z"", ""StateChangedCounter"": 1760}"
2025-04-30 20:34:24.763934+03,Auton_json/A835/0552/ProcessResult,"{""ClassId"": 22820, ""StartDate"": ""2025-04-30T20:34:27.000Z"", ""TemperatureC"": ""39.390""}"
2025-04-30 20:34:24.766713+03,Auton_json/A855-50/0915/ProcessResult,"{""ClassId"": 22800, ""StartDate"": ""2025-04-30T20:34:27.000Z"", ""TemperatureC"": [""36.890"", ""32.930"", ""-1.310"", ""-34.350""]}"
2025-04-30 20:34:24.78344+03,Auton_json/A405-10/0512/ProcessResult,"{""ClassId"": 22406, ""CurrentA"": 96.12371063232422, ""CurrentB"": 48.35786819458008, ""CurrentC"": 44.57350540161133, ""StartDate"": ""2025-04-30T20:34:27.000Z""}"
2025-04-30 20:34:24.786924+03,Auton_json/A605-20/1856/ProcessResult,"{""ClassId"": 22559, ""StartDate"": ""2025-04-30T20:34:27.000Z"", ""TemperatureC_1"": ""-27.250"", ""TemperatureC_2"": ""-12.600"", ""VibrationTemperatureC_1"": ""37.960"", ""VibrationTemperatureC_2"": ""-12.600"", ""XVibrationVelocityRmsMPerS_1"": ""0.09612"", ""XVibrationVelocityRmsMPerS_2"": ""0.09924"", ""YVibrationVelocityRmsMPerS_1"": ""0.04835"", ""YVibrationVelocityRmsMPerS_2"": ""0.06930"", ""ZVibrationVelocityRmsMPerS_1"": ""0.00524"", ""ZVibrationVelocityRmsMPerS_2"": ""0.02161""}"
2025-04-30 20:34:24.806665+03,Auton_json/A205/0008/ProcessResult,"{""ClassId"": 22205, ""StartDate"": ""2025-04-30T20:34:27.000Z"", ""Concentration"": 0.00000884300607140176, ""CasRegistryNumber"": 7783064}"
2025-04-30 20:34:24.810121+03,Auton_json/A605-20/1858/ProcessResult,"{""ClassId"": 22609, ""StartDate"": ""2025-04-30T20:34:27.000Z"", ""TemperatureC_1"": ""39.390"", ""TemperatureC_2"": ""15.440"", ""VibrationTemperatureC_1"": ""36.890"", ""VibrationTemperatureC_2"": ""15.440"", ""XVibrationAccelerationRmsMPerS2_1"": ""0.960"", ""XVibrationAccelerationRmsMPerS2_2"": ""0.990"", ""YVibrationAccelerationRmsMPerS2_1"": ""0.480"", ""YVibrationAccelerationRmsMPerS2_2"": ""0.690"", ""ZVibrationAccelerationRmsMPerS2_1"": ""0.050"", ""ZVibrationAccelerationRmsMPerS2_2"": ""0.210""}"
2025-04-30 20:34:47.094398+03,Auton_json/A405/0123/DeviceState,"{""ClassId"": 19003, ""StartDate"": ""2025-04-30T20:34:48.000Z"", ""BatteryLevel"": 44, ""RemoteConnectionLevel"": 9}"
2025-04-30 20:34:47.138922+03,Auton_json/A405-10/0512/DeviceState,"{""ClassId"": 19003, ""StartDate"": ""2025-04-30T20:34:48.000Z"", ""BatteryLevel"": 88, ""RemoteConnectionLevel"": 6}"
2025-04-30 20:34:47.162076+03,Auton_json/A205/0006/DeviceState,"{""ClassId"": 19003, ""StartDate"": ""2025-04-30T20:34:48.000Z"", ""BatteryLevel"": 88, ""RemoteConnectionLevel"": 6}"
2025-04-30 20:34:47.16561+03,Auton_json/A555-10/1022/DeviceState,"{""ClassId"": 19003, ""StartDate"": ""2025-04-30T20:34:48.000Z"", ""BatteryLevel"": 88, ""RemoteConnectionLevel"": 6}"
2025-04-30 20:34:47.169261+03,Auton_json/A835/0551/DeviceState,"{""ClassId"": 19003, ""StartDate"": ""2025-04-30T20:34:48.000Z"", ""BatteryLevel"": 88, ""RemoteConnectionLevel"": 6}"
2025-04-30 20:34:47.172755+03,Auton_json/A845/0914/DeviceState,"{""ClassId"": 19003, ""StartDate"": ""2025-04-30T20:34:48.000Z"", ""BatteryLevel"": 88, ""RemoteConnectionLevel"": 6}"
2025-04-30 20:34:51.194918+03,Auton_json/A605-20/1856/DeviceState,"{""ClassId"": 19003, ""StartDate"": ""2025-04-30T20:34:53.000Z"", ""BatteryLevel"": 68, ""RemoteConnectionLevel"": 2}"
2025-04-30 20:34:51.216985+03,Auton_json/A125/0326/DeviceState,"{""ClassId"": 19003, ""StartDate"": ""2025-04-30T20:34:53.000Z"", ""BatteryLevel"": 68, ""RemoteConnectionLevel"": 2}"
2025-04-30 20:34:51.22038+03,Auton_json/A605-10/0791/DeviceState,"{""ClassId"": 19003, ""StartDate"": ""2025-04-30T20:34:53.000Z"", ""BatteryLevel"": 68, ""RemoteConnectionLevel"": 2}"
2025-04-30 20:34:55.070005+03,Auton_json/A555-10/1023/ProcessResult,"{""ClassId"": 22555, ""StartDate"": ""2025-04-30T20:34:57.000Z"", ""DiscreteStatus"": 1}"
2025-04-30 20:35:06.616203+03,Auton_json/A225/0343/DeviceState,"{""ClassId"": 19003, ""StartDate"": ""2025-04-30T20:35:09.000Z"", ""BatteryLevel"": 4, ""RemoteConnectionLevel"": 55}"
2025-04-30 20:35:19.083156+03,Auton_json/A215/0831/DeviceState,"{""ClassId"": 19003, ""StartDate"": ""2025-04-30T20:35:20.000Z"", ""BatteryLevel"": 15, ""RemoteConnectionLevel"": 96}"
2025-04-30 20:35:25.511089+03,Auton_json/A205/0006/ProcessResult,"{""ClassId"": 22205, ""StartDate"": ""2025-04-30T20:35:27.000Z"", ""Concentration"": 0.44573503732681274, ""CasRegistryNumber"": 7783064}"
2025-04-30 20:35:25.549124+03,Auton_json/A555-10/1022/ProcessResult,"{""ClassId"": 22556, ""StartDate"": ""2025-04-30T20:35:27.000Z"", ""DiscreteStatus"": 1}"
2025-04-30 20:35:25.573008+03,Auton_json/A555-10/1025/ProcessResult,"{""ClassId"": 22551, ""StartDate"": ""2025-04-30T20:35:27.000Z"", ""FrequencyRpm"": 2991.139892578125}"
2025-04-30 20:35:25.576921+03,Auton_json/A205/0010/ProcessResult,"{""ClassId"": 22205, ""StartDate"": ""2025-04-30T20:35:27.000Z"", ""Concentration"": 0.006686579901725054, ""CasRegistryNumber"": 74986}"
2025-04-30 20:35:25.580764+03,Auton_json/A835/0551/ProcessResult,"{""ClassId"": 22821, ""StartDate"": ""2025-04-30T20:35:27.000Z"", ""PressureAt"": ""0.8886520881""}"
2025-04-30 20:35:25.596904+03,Auton_json/A125/0326/ProcessResult,"{""ClassId"": 22125, ""Distance"": 5.671688079833984, ""StartDate"": ""2025-04-30T20:35:27.000Z""}"
2025-04-30 20:35:25.600596+03,Auton_json/A605-10/0791/ProcessResult,"{""ClassId"": 22558, ""StartDate"": ""2025-04-30T20:35:27.000Z"", ""TemperatureC"": ""-17.980"", ""VibrationTemperatureC"": ""39.970"", ""XVibrationVelocityRmsMPerS"": ""0.09745"", ""YVibrationVelocityRmsMPerS"": ""0.01593"", ""ZVibrationVelocityRmsMPerS"": ""0.03090""}"
2025-04-30 20:35:25.603617+03,Auton_json/A405/0123/ProcessResult,"{""ClassId"": 22405, ""Current"": 44.57350540161133, ""StartDate"": ""2025-04-30T20:35:27.000Z""}"
2025-04-30 20:36:26.504639+03,Auton_json/A855-50/0915/ProcessResult,"{""ClassId"": 22800, ""StartDate"": ""2025-04-30T20:36:27.000Z"", ""TemperatureC"": [""22.850"", ""39.970"", ""20.340"", ""-17.980""]}"
2025-04-30 20:35:25.607309+03,Auton_json/A605-10/0792/ProcessResult,"{""ClassId"": 22606, ""StartDate"": ""2025-04-30T20:35:27.000Z"", ""TemperatureC"": ""-35.720"", ""VibrationTemperatureC"": ""37.960"", ""XVibrationDisplacementRmsM"": ""0.00097450"", ""YVibrationDisplacementRmsM"": ""0.00015930"", ""ZVibrationDisplacementRmsM"": ""0.00030900""}"
2025-04-30 20:35:25.610988+03,Auton_json/A835/0553/ProcessResult,"{""ClassId"": 22822, ""StartDate"": ""2025-04-30T20:35:27.000Z"", ""PressureAt"": ""1.9671243493"", ""TemperatureC"": ""-4.340""}"
